X_train,y_train
"[190, 9, 2, 909, 1725, 270, 256, 1, 568, 4552]","[551, 4451, 17, 2, 1, 102, 373, 7, 179, 956]"
"[4, 1, 11, 360, 6, 8925, 459, 17, 1, 3900]","[60, 7, 1, 130, 1570, 849, 1, 476, 4, 1]"
"[1, 20, 5, 947, 1672, 2749, 34, 4873, 16, 1]","[9, 1415, 15, 24, 888, 1461, 1201, 1183, 6, 236]"
"[6, 63, 1, 24, 7214, 19, 2807, 3, 935, 95]","[2, 495, 4, 5, 485, 4995, 17, 3795, 4508, 767]"
"[6, 2759, 7, 86, 944, 38, 1132, 22, 3707, 117]","[9, 5, 9482, 34, 10, 2332, 3935, 11, 5, 1]"
"[1, 3073, 3404, 6, 5620, 1, 1137, 3, 28, 207]","[15, 514, 23, 459, 367, 3, 421, 80, 409, 2342]"
"[6, 1490, 7023, 3, 2, 2791, 133, 3303, 6, 1552]","[6, 3702, 2, 279, 1000, 422, 24, 73, 2, 372]"
"[1521, 784, 8497, 41, 622, 48, 31, 728, 14, 4211]","[86, 8154, 7, 5, 1, 1, 11, 3677, 165, 251]"
"[20, 5, 504, 4, 3454, 17, 71, 73, 1635, 580]","[180, 4, 2, 84, 18, 5952, 5798, 3, 78, 7046]"
"[5504, 534, 1, 1, 1, 1, 1, 3962, 3617, 3962]","[395, 1, 1, 5770, 1, 1246, 1, 1, 3800, 3800]"
"[19, 912, 6065, 10, 29, 69, 28, 161, 26, 1838]","[264, 341, 1140, 21, 1, 3, 231, 9, 485, 114]"
"[2, 1, 18, 4305, 51, 124, 66, 12, 129, 11]","[4, 2, 1062, 275, 4, 4329, 503, 23, 2576, 3082]"
"[1, 2124, 1, 6, 1, 1, 1137, 3, 28, 207]","[2, 211, 4153, 7, 7443, 18, 2786, 1, 9499, 1]"
"[1344, 7, 28, 4082, 27, 4044, 119, 4, 832, 1]","[5, 1, 4, 545, 21, 2, 113, 255, 4, 508]"
"[5, 21, 762, 978, 4, 451, 198, 2529, 41, 176]","[1, 628, 42, 632, 48, 2, 106, 1237, 654, 904]"
"[1, 1, 641, 9, 2, 669, 21, 1, 2360, 203]","[5, 4742, 2753, 6, 532, 3, 3447, 7, 2, 1076]"
"[79, 4, 19, 3919, 367, 23, 56, 1, 2, 960]","[34, 873, 21, 7302, 235, 11, 447, 428, 1265, 6928]"
"[400, 9, 3231, 3899, 54, 1696, 3, 893, 28, 392]","[9795, 4043, 2514, 4371, 9, 78, 5584, 3, 158, 50]"
"[5, 764, 115, 7, 2, 3358, 3305, 4706, 13, 164]","[6930, 82, 1314, 3, 1014, 2, 853, 7, 472, 2853]"
"[780, 209, 2, 75, 6, 372, 112, 2, 2176, 4143]","[14, 1138, 24, 37, 5311, 3, 2, 1322, 261, 546]"
"[8065, 1126, 4067, 6, 2643, 524, 3, 1752, 1, 3658]","[1, 5454, 1, 4215, 4130, 979, 997, 9, 3568, 3808]"
"[1067, 4, 1, 5, 1187, 2744, 9, 589, 6, 2714]","[69, 1, 480, 17, 2, 1, 630, 14, 5614, 520]"
"[5193, 832, 8515, 1, 3320, 2986, 6209, 6, 1, 1059]","[44, 3, 579, 3165, 2098, 1, 1, 671, 3727, 1594]"
"[4031, 7, 2, 1, 1, 442, 4, 347, 6, 141]","[6539, 7, 2, 309, 4, 322, 500, 65, 2, 587]"
"[498, 2138, 49, 9, 87, 5, 150, 4, 2, 2201]","[51, 648, 76, 6, 973, 145, 4562, 3, 1117, 1759]"
"[1, 89, 2, 909, 1450, 12, 2, 208, 9, 158]","[569, 3, 3538, 112, 3958, 6, 12, 815, 14, 4663]"
"[1, 4654, 1902, 3, 248, 69, 46, 613, 1512, 842]","[1, 662, 6, 918, 936, 4, 1206, 1, 18, 747]"
"[86, 9247, 141, 6, 42, 320, 42, 313, 5, 1914]","[7, 2, 9719, 4146, 1933, 2, 3820, 458, 24, 1831]"
"[1031, 81, 313, 5, 1, 9, 60, 1773, 4433, 7899]","[75, 2544, 4177, 1716, 1257, 801, 9, 2, 1, 794]"
"[1189, 28, 357, 6, 12, 407, 3, 406, 9, 297]","[2740, 83, 13, 12, 30, 1442, 48, 2109, 2136, 1173]"
"[1707, 4, 1, 472, 240, 7, 59, 1, 755, 2108]","[16, 580, 873, 3108, 774, 337, 26, 5672, 9, 313]"
"[55, 10, 5, 901, 557, 4, 3374, 7, 123, 2104]","[37, 2352, 3, 4205, 6, 1, 144, 3, 197, 323]"
"[1727, 1, 42, 1, 83, 1484, 370, 1741, 3610, 8985]","[5, 4123, 1, 14, 5, 717, 2850, 27, 432, 1377]"
"[1, 1, 6, 15, 13, 78, 90, 18, 13, 3790]","[10, 19, 604, 6, 4539, 291, 3, 5215, 1, 1461]"
"[464, 54, 922, 39, 388, 842, 40, 5771, 39, 2570]","[63, 1, 1326, 2064, 76, 3161, 2133, 2, 1062, 417]"
"[29, 22, 8739, 255, 2, 138, 24, 1226, 5, 371]","[71, 2126, 6, 24, 70, 823, 18, 5, 788, 562]"
"[2, 1032, 4, 2125, 12, 46, 8, 38, 408, 5016]","[1, 6, 47, 368, 7, 1, 1, 801, 9, 306]"
"[4, 19, 794, 3, 186, 578, 6, 207, 2, 2724]","[38, 86, 108, 958, 4, 2332, 7070, 5, 2589, 548]"
"[7, 2, 1170, 3, 98, 5, 1, 7, 2, 7210]","[6364, 867, 7, 1515, 3, 1, 120, 7343, 1, 139]"
"[1, 1603, 52, 5, 1609, 21, 2, 1, 1, 173]","[20, 2299, 1, 1, 1, 1, 1, 6, 318, 1]"
"[1625, 2, 1, 1758, 300, 1207, 927, 81, 32, 912]","[133, 4222, 6, 1, 3, 230, 112, 1400, 2570, 543]"
"[27, 164, 3, 2, 1, 1794, 40, 30, 8095, 761]","[700, 617, 436, 12, 1574, 1782, 521, 2873, 1602, 198]"
"[320, 4775, 3627, 2374, 6, 58, 28, 43, 22, 1412]","[2, 901, 90, 13, 10, 135, 3, 29, 5133, 1946]"
"[1225, 110, 45, 3263, 252, 53, 2989, 2113, 7, 9844]","[54, 1168, 48, 19, 57, 1924, 3478, 2324, 14, 1190]"
"[4, 1, 2, 1, 1379, 667, 133, 9547, 6, 6662]","[1509, 29, 1809, 4, 335, 109, 2, 1897, 4, 257]"
"[3618, 6, 1, 42, 37, 593, 26, 5, 2694, 5443]","[4, 492, 26, 134, 1304, 9, 5975, 9, 1, 7074]"
"[138, 9, 1, 633, 3211, 383, 2, 613, 12, 1028]","[12, 5936, 2684, 9, 349, 232, 6, 1951, 2404, 5580]"
"[4, 2, 2285, 7, 2, 510, 1534, 4, 2, 7033]","[195, 393, 3, 1403, 1459, 1, 1326, 2, 1, 7076]"
"[2266, 316, 228, 21, 77, 114, 1, 342, 77, 15]","[141, 480, 11, 2988, 4, 520, 658, 7, 75, 1618]"
"[1985, 38, 27, 29, 686, 4359, 904, 11, 28, 1413]","[2358, 1, 6169, 3224, 450, 1920, 1882, 4, 5876, 1083]"
"[14, 542, 111, 1, 8262, 6787, 6766, 6, 1, 1]","[2657, 1, 255, 2631, 89, 3, 531, 1, 348, 4377]"
"[7, 28, 7071, 27, 4044, 119, 4, 298, 1596, 1]","[1, 7, 1447, 3, 3705, 139, 407, 3031, 98, 1]"
"[296, 47, 1, 61, 25, 331, 16, 78, 22, 6424]","[368, 3372, 11, 599, 12, 3, 22, 5865, 2578, 1213]"
"[9191, 2, 1811, 1886, 32, 33, 1, 2, 605, 1460]","[32, 178, 2105, 62, 18, 13, 10, 876, 225, 392]"
"[43, 167, 328, 305, 3307, 205, 11, 379, 1012, 653]","[1, 451, 1, 9, 39, 724, 379, 64, 585, 153]"
"[50, 103, 3, 98, 67, 7648, 14, 86, 606, 2896]","[11, 375, 14, 5, 724, 795, 64, 790, 11, 360]"
"[1, 4000, 1, 6, 4187, 1, 1137, 3, 28, 207]","[1429, 2, 5183, 2042, 3, 364, 5, 2185, 308, 189]"
"[24, 330, 1292, 3, 976, 2752, 41, 3783, 2, 6273]","[95, 2, 1039, 10, 5, 1965, 105, 19, 791, 170]"
"[26, 11, 2, 2186, 25, 43, 29, 349, 164, 4360]","[70, 9907, 3130, 409, 19, 7047, 11, 5820, 1, 58]"
"[38, 90, 715, 38, 57, 3, 6425, 2, 4067, 664]","[689, 1399, 26, 1784, 5, 1, 2593, 17, 585, 767]"
"[74, 64, 7, 2, 107, 1, 1, 1, 167, 266]","[1014, 101, 4, 2, 1125, 4, 2, 9850, 7, 1457]"
"[1, 7, 1, 1, 225, 4, 2, 1134, 1742, 553]","[315, 1196, 130, 1206, 1258, 7, 1, 11, 43, 5948]"
"[170, 9558, 6, 107, 2055, 9558, 247, 1, 6, 1]","[963, 1798, 38, 321, 112, 14, 2, 1307, 7, 1]"
"[1339, 65, 8, 310, 29, 3030, 2, 130, 13, 12]","[2574, 468, 2, 179, 1472, 680, 5380, 1, 4715, 550]"
"[1985, 38, 27, 29, 686, 4359, 904, 11, 28, 1413]","[54, 86, 1047, 76, 30, 394, 2824, 5, 886, 1403]"
"[27, 164, 3, 2, 1, 1794, 40, 30, 8095, 761]","[7, 5, 1758, 1300, 7211, 25, 1210, 70, 78, 962]"
"[2, 196, 138, 7, 3034, 40, 87, 1350, 7, 5768]","[5, 1797, 1632, 24, 36, 19, 4619, 1, 11, 1263]"
"[16, 12, 436, 386, 151, 481, 7, 2, 1, 3974]","[0, 0, 0, 0, 1, 3, 1, 3, 19, 2949]"
"[1987, 4, 2, 600, 1, 1107, 240, 6, 1, 8537]","[11, 310, 2, 1, 125, 2, 1118, 10, 185, 97]"
"[102, 5, 371, 8, 8, 110, 43, 82, 22, 1]","[2491, 8, 454, 5, 377, 6, 4056, 557, 3, 143]"
"[1, 505, 7, 234, 45, 5027, 3, 2, 169, 224]","[416, 3, 121, 3086, 512, 11, 213, 4, 2, 102]"
"[167, 932, 81, 2, 318, 9861, 14, 2, 9482, 1501]","[3276, 11, 375, 189, 18, 2934, 6590, 1, 2, 611]"
"[86, 4819, 1455, 2939, 7, 317, 27, 749, 3, 1]","[28, 13, 83, 145, 6079, 77, 876, 201, 5, 1]"
"[184, 31, 1, 3, 1, 1, 1, 2, 241, 84]","[1641, 4, 1573, 1378, 7, 2, 1957, 162, 2, 1498]"
"[85, 2136, 5801, 41, 185, 2038, 3, 1935, 1, 1]","[2821, 119, 8605, 29, 2012, 83, 2, 1411, 10, 1]"
"[2, 167, 661, 292, 47, 21, 1, 6, 178, 7732]","[268, 34, 10, 108, 452, 17, 5, 157, 7, 1]"
"[1860, 973, 1, 6, 2, 1578, 895, 1744, 490, 1662]","[42, 7167, 61, 909, 34, 124, 30, 2060, 6894, 4025]"
"[2, 1, 1695, 632, 2626, 431, 632, 1, 2224, 5791]","[9, 1649, 1688, 6, 2, 56, 469, 587, 4, 1]"
"[3761, 25, 153, 857, 48, 16, 13, 70, 3437, 163]","[830, 2560, 136, 2105, 19, 3600, 3, 1261, 2, 184]"
"[43, 1, 9, 2, 865, 3, 22, 190, 3, 635]","[16, 2, 464, 12, 86, 1285, 18, 5, 879, 4313]"
"[8, 16, 4298, 384, 5, 4588, 672, 6, 660, 7165]","[40, 156, 1019, 76, 139, 3, 1837, 822, 88, 1173]"
"[6, 38, 43, 98, 49, 50, 58, 16, 12, 1079]","[393, 3, 1116, 5, 7510, 7, 4429, 10, 408, 50]"
"[74, 2053, 166, 3, 4175, 5, 677, 180, 963, 838]","[3, 1, 5, 206, 795, 7, 2, 1, 373, 382]"
"[521, 104, 5522, 387, 2, 17, 2, 4270, 71, 266]","[603, 6590, 26, 2004, 7, 3258, 1, 4, 4937, 1728]"
"[1, 1, 4021, 393, 6, 585, 1, 21, 1, 1]","[2143, 5, 1825, 4, 2536, 7, 4342, 1, 741, 1]"
"[132, 2, 1, 498, 2601, 23, 37, 218, 7, 191]","[21, 4168, 17, 2, 2866, 2452, 90, 4, 9748, 2744]"
"[1, 9, 5, 5444, 2633, 11, 1, 1, 284, 11]","[2495, 7812, 6117, 71, 38, 5281, 3, 1797, 9732, 481]"
"[1699, 60, 53, 34, 27, 48, 3, 2126, 5, 728]","[14, 2, 991, 7697, 1434, 8366, 4299, 18, 208, 44]"
"[951, 3, 182, 3145, 2196, 801, 48, 2, 2196, 3394]","[448, 756, 23, 37, 4660, 14, 2135, 7, 296, 902]"
"[135, 384, 211, 73, 58, 49, 153, 349, 13, 15]","[3317, 14, 1107, 2727, 7, 2, 776, 765, 1049, 853]"
"[4613, 8317, 2507, 10, 5, 4394, 2449, 4, 5674, 431]","[664, 1872, 2065, 7, 179, 1472, 184, 77, 22, 4541]"
"[1038, 11, 360, 8269, 20, 1, 4567, 6, 1584, 7661]","[1937, 617, 67, 4338, 3, 4844, 48, 3, 22, 4424]"
"[3, 625, 221, 377, 47, 9, 2592, 61, 76, 1]","[687, 3085, 17, 5, 1163, 4, 125, 245, 5, 251]"
"[18, 2, 1196, 2368, 1, 111, 2, 59, 7863, 6433]","[67, 164, 534, 6, 2075, 161, 690, 14, 626, 602]"
"[5, 189, 1, 285, 26, 38, 78, 22, 1, 16]","[2, 1, 303, 1, 438, 3914, 1, 3, 1, 1]"
"[1433, 18, 5, 8920, 4, 976, 1377, 882, 41, 1]","[50, 5, 1, 9, 219, 700, 1, 24, 441, 49]"
"[1, 1688, 96, 29, 22, 289, 2192, 1, 41, 1]","[437, 344, 607, 3, 1007, 219, 6, 697, 21, 1]"
"[770, 14, 28, 685, 4, 673, 153, 4686, 108, 543]","[2468, 64, 62, 14, 19, 5866, 339, 7, 2, 224]"
"[3370, 49, 145, 28, 12, 30, 2237, 16, 12, 29]","[1, 71, 30, 107, 88, 1391, 6, 88, 2766, 146]"
"[7, 28, 4082, 27, 4044, 119, 4, 298, 1835, 1]","[216, 53, 430, 4807, 1, 2936, 11, 484, 1663, 3184]"
"[1, 5, 747, 45, 1, 2, 8896, 52, 3, 4020]","[1482, 17, 89, 3, 1, 1, 1482, 366, 17, 8808]"
"[116, 2392, 98, 127, 2, 4127, 20, 1, 746, 2910]","[5, 882, 161, 81, 892, 2, 1, 1021, 24, 16]"
"[32, 23, 39, 5148, 11, 2, 5470, 4, 39, 285]","[1, 64, 2, 165, 209, 72, 3, 181, 39, 1]"
"[3754, 2, 71, 75, 174, 21, 1, 10, 7, 1953]","[76, 1, 21, 1, 7, 450, 72, 197, 323, 116]"
"[1027, 8, 2835, 6435, 24, 535, 664, 320, 14, 225]","[6792, 10, 288, 50, 9, 6184, 20, 19, 5174, 3159]"
"[6424, 6, 1, 9, 1243, 26, 16, 12, 29, 2210]","[68, 126, 1412, 2197, 32, 26, 1519, 1, 13, 83]"
"[7, 2, 1, 1066, 1, 6127, 1137, 3, 28, 466]","[1, 9, 47, 580, 2860, 96, 1116, 2, 1, 1110]"
"[1861, 41, 4699, 3107, 203, 21, 2490, 7, 2, 245]","[1, 24, 37, 108, 11, 5, 974, 17, 2912, 293]"
"[55, 27, 671, 41, 718, 1112, 129, 3, 22, 487]","[7916, 1248, 278, 1437, 41, 22, 3551, 5883, 7, 451]"
"[30, 2476, 1609, 26, 33, 108, 5078, 38, 242, 82]","[5, 1657, 7076, 639, 60, 1357, 38, 15, 10, 381]"
"[452, 8, 1, 16, 3, 5, 3559, 4, 1, 1]","[7504, 1, 6486, 8, 915, 159, 4, 2, 3499, 7219]"
"[789, 14, 458, 975, 6, 1, 127, 2, 1, 702]","[1064, 826, 14, 467, 1011, 6, 1, 125, 2, 697]"
"[7567, 1, 555, 8, 16, 51, 2956, 1954, 6, 1]","[119, 18, 1, 1797, 1919, 1, 33, 152, 3, 1]"
"[424, 305, 1920, 31, 141, 27, 82, 2626, 14, 2013]","[140, 23, 82, 37, 558, 3, 750, 14, 5, 3695]"
"[18, 125, 18, 9, 39, 9559, 1638, 115, 6, 7932]","[1314, 3, 5544, 9, 793, 443, 6, 999, 4, 4762]"
"[165, 4498, 1675, 1, 3, 2, 1, 4346, 21, 1]","[3, 1195, 19, 1021, 38, 3057, 4197, 4704, 1, 867]"
"[4011, 1, 15, 1066, 5735, 1, 1137, 3, 28, 207]","[11, 340, 44, 4, 2, 2559, 12, 31, 130, 2349]"
"[3523, 51, 23, 37, 1, 20, 170, 41, 214, 4293]","[17, 2, 63, 216, 519, 429, 936, 18, 8324, 914]"
"[1, 3, 1287, 33, 29, 2187, 88, 282, 8328, 1178]","[1201, 113, 5694, 34, 23, 529, 2, 372, 4, 1]"
"[9, 217, 209, 14, 2, 2072, 640, 1, 383, 294]","[39, 98, 2346, 81, 1, 5575, 1, 6, 1, 417]"
"[6, 502, 14, 5, 1160, 4, 2079, 1, 6, 1]","[2, 268, 7, 366, 38, 5, 4477, 701, 7, 227]"
"[43, 159, 5, 905, 175, 44, 16, 5027, 167, 266]","[1314, 385, 7, 1, 1, 2754, 1379, 802, 79, 1]"
